"frequency_ghz","channel","absolute_commanded_phase_deg","relative_commanded_from_180_deg","measured_relative_from_180_deg","phase_error_from_180_deg","original_phase_error_from_0_deg","reference_180_measured_magnitude_deg","reference_180_original_error_deg","tone_level_dbfs","amplitude_delta_from_0_db","circular_std_deg","sample_count","source_directory"
"2.7","1","112.5","-67.5","-70.413","-2.9129999999999967","-0.9549999999999983","181.958","1.9579999999999984","-18.43","-0.6780000000000008","0.023","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","135","-45","-49.730999999999995","-4.7309999999999945","-2.772999999999996","181.958","1.9579999999999984","-18.668","-0.9160000000000004","0.038","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","157.5","-22.5","-27.757000000000005","-5.257000000000005","-3.2990000000000066","181.958","1.9579999999999984","-18.431","-0.679000000000002","0.042","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","180","0","0","0","1.9579999999999984","181.958","1.9579999999999984","-18.003","-0.2510000000000012","0.081","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","202.5","22.5","21.111999999999995","-1.3880000000000052","0.5699999999999932","181.958","1.9579999999999984","-17.906","-0.15399999999999991","0.007","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","225","45","45.64099999999999","0.6409999999999911","2.5989999999999895","181.958","1.9579999999999984","-17.996","-0.24399999999999977","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","247.5","67.5","66.61699999999999","-0.8830000000000098","1.0749999999999886","181.958","1.9579999999999984","-18.077","-0.32500000000000284","0.067","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","270","90","89.81800000000001","-0.18199999999998795","1.7760000000000105","181.958","1.9579999999999984","-18.466","-0.7140000000000022","0.017","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","292.5","112.5","110.72200000000001","-1.7779999999999916","0.18000000000000682","181.958","1.9579999999999984","-18.697","-0.9450000000000003","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","315","135","130.72599999999997","-4.274000000000029","-2.316000000000031","181.958","1.9579999999999984","-18.672","-0.9200000000000017","0.039","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","337.5","157.5","152.338","-5.162000000000006","-3.2040000000000077","181.958","1.9579999999999984","-18.437","-0.6850000000000023","0.007","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","2","0","-180","-181.222","-1.2220000000000084","-0.036","181.186","1.186000000000007","-19.588","0","0.037","4","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","22.5","-157.5","-160.108","-2.608000000000004","-1.4220000000000006","181.186","1.186000000000007","-19.594","-0.006000000000000227","0.01","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","45","-135","-135.731","-0.7309999999999945","0.4549999999999983","181.186","1.186000000000007","-19.861","-0.2729999999999997","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","67.5","-112.5","-114.71300000000001","-2.213000000000008","-1.027000000000001","181.186","1.186000000000007","-19.932","-0.34399999999999764","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","90","-90","-93.20400000000001","-3.2040000000000077","-2.0180000000000007","181.186","1.186000000000007","-20.448","-0.8599999999999994","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","112.5","-67.5","-72.875","-5.375","-4.188999999999993","181.186","1.186000000000007","-20.371","-0.7829999999999977","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","135","-45","-52.072","-7.072000000000003","-5.885999999999996","181.186","1.186000000000007","-20.283","-0.6950000000000003","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","157.5","-22.5","-28.688999999999993","-6.188999999999993","-5.002999999999986","181.186","1.186000000000007","-19.96","-0.3719999999999999","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","180","0","0","0","1.186000000000007","181.186","1.186000000000007","-19.688","-0.09999999999999787","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","202.5","22.5","21.307999999999993","-1.1920000000000073","-0.006000000000000227","181.186","1.186000000000007","-19.708","-0.11999999999999744","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","225","45","45.56199999999998","0.5619999999999834","1.7479999999999905","181.186","1.186000000000007","-20.077","-0.48900000000000077","0","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","247.5","67.5","66.61499999999998","-0.8850000000000193","0.3009999999999877","181.186","1.186000000000007","-20.181","-0.593","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","270","90","88.47900000000001","-1.5209999999999866","-0.33499999999997954","181.186","1.186000000000007","-20.79","-1.2019999999999982","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","292.5","112.5","107.917","-4.582999999999998","-3.3969999999999914","181.186","1.186000000000007","-20.702","-1.1140000000000008","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","315","135","127.68199999999999","-7.318000000000012","-6.132000000000005","181.186","1.186000000000007","-20.62","-1.032","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","337.5","157.5","150.717","-6.782999999999987","-5.59699999999998","181.186","1.186000000000007","-20.127","-0.5389999999999979","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
